year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-K-21,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Early Woodland,Middle Woodland,NA,Occupation Season,Spring,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Maryland,TRUE,18DO117,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring and Autumn,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-G-79,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring-Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7K-D-3,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Early Woodland,Early Woodland,NA,Occupation Season,Spring-Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7K-F-12,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Spring-Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-A-1-2,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-D-10,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Middle Woodland,Middle Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-G-14,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-G-22-1,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-G-22-2,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1990,,Custer and Doms,,TRUE,External pattern,Crassostrea virginica,US-Delaware,TRUE,7S-G-22-3,1,marine,NA,NA,NA,NA,NA,NA,NA,3,Late Woodland,Late Woodland,NA,Occupation Season,Summer,,"Custer, J., Doms, K.R., 1990. Analysis of microgrowth patterns of the American Oyster (Crassostrea virginica) in the Middle Atlantic Region of Eastern North America: Archaeological applications. J. Archaeol. Sci. 17, 151–160."
1998,,Herbert and Steponatis,,TRUE,External pattern,Crassostrea virginica,US-Atlantic Coast,TRUE,Aud site (18ST634) ,1,marine,,,layer,39,2,2,NA,3.3,900,700,TRUE,Occupation Season,early June and late Sept ,,"Herbert, J.M., Steponaitis, L.C., 1998. ESTIMATING THE SEASON OF HARVEST OF EASTERN OYSTERS (CRASSOSTREA VIRGINICA) WITH SHELLS FROM THE CHESAPEAKE BAY. Southeastern Archaeology 17, 53–71."
1998,,Herbert and Steponatis,,TRUE,External pattern,Crassostrea virginica,US-Atlantic Coast,TRUE,Thomas Point,1,marine,,,midden,186,3,NA,NA,3.5,900,700,TRUE,Occupation Season,late summer to winter,,"Herbert, J.M., Steponaitis, L.C., 1998. ESTIMATING THE SEASON OF HARVEST OF EASTERN OYSTERS (CRASSOSTREA VIRGINICA) WITH SHELLS FROM THE CHESAPEAKE BAY. Southeastern Archaeology 17, 53–71."
1996,,Kennet and Vorhiies,,TRUE,d18O,Polymesoda radiata ,Mexico,TRUE,Tlacuachero ,1,marine,TRUE,FALSE,midden,140,7,30,1,1.5,5000,3800,NA,Occupation Season,year-round (first dry period then wet period),2 long sequences of 15 edge samples were taken for each sampled layer,"Kennett, D.J., Voorhies, B., 1996. Oxygen Isotopic Analysis of Archaeological Shells to Detect Seasonal Use of Wetlands on the Southern Pacific Coast of Mexico. J. Archaeol. Sci. 23, 689–704."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Crane Island (8NA709),1,marine,,,midden,99,NA,NA,NA,NA,Savannah,Savannah,NA,Occupation Season,Early spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Tidewater site (38HR254),1,marine,,,midden,95,NA,NA,NA,NA,600,600,TRUE,Occupation Season,Late winter‚ÄöEarly spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Planted Pine midden (8DU7499),1,marine,,,midden,57,NA,NA,NA,NA,Savannah,Savannah,NA,Occupation Season,Spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Catfish Creek (8SO608),1,marine,,,midden,33,NA,NA,NA,NA,1300,1000,TRUE,Occupation Season,Spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Cannons Point Shell Ring (GN57),1,marine,,,midden,30,NA,NA,NA,NA,4500,3000,TRUE,Occupation Season,Spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Useppa Island-Calusa Ridge (8LL51),1,marine,,,midden,383,NA,NA,NA,NA,4000,3500,TRUE,Occupation Season,Spring-Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Pineland-Old mound (8LL33),1,marine,,,midden,112,NA,NA,NA,NA,1500,1000,TRUE,Occupation Season,Spring-Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Pineland-Brown's mound (8LL33),1,marine,,,midden,87,NA,NA,NA,NA,1500,1200,TRUE,Occupation Season,Spring-Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Pineland-Randell mound (8LL33),1,marine,,,midden,83,NA,NA,NA,NA,800,500,TRUE,Occupation Season,Spring-Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Honeymoon Hill (8BR162),1,marine,,,midden,30,NA,NA,NA,NA,2500,1500,TRUE,Occupation Season,Winter,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Piney Point (8NA31),1,marine,,,midden,29,NA,NA,NA,NA,St. Johns II/Savannah,St. Johns II/Savannah,NA,Occupation Season,Winter,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Jones-Za141 (8DU7498),1,marine,,,midden,46,NA,NA,NA,NA,St. Johns II,St. Johns II,NA,Occupation Season,Winter to Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Palmetto Lane midden (8SO96),1,marine,,,midden,172,NA,NA,NA,NA,1830,1750,TRUE,Occupation Season,Winter-Early Summer,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Harrison Homestead (8NA41D),1,marine,,,midden,61,NA,NA,NA,NA,Savannah,Savannah,NA,Occupation Season,Winter-Spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Josslyn Island (8LL32),1,marine,,,midden,50,NA,NA,NA,NA,1200,900,TRUE,Occupation Season,Winter-Spring,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Seminole Rest,1,marine,,,midden,662,NA,NA,NA,NA,1200,500,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,"Edgewater, FL",1,marine,,,midden,606,NA,NA,NA,NA,1500,1300,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Gardner's Point (8LV68)-Seahorse Key,1,marine,,,midden,178,NA,NA,NA,NA,Weeden Is.,Weeden Is.,NA,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Tomoka Stone park (8VO2571),1,marine,,,midden,139,NA,NA,NA,NA,4000,2500,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,A.B.'s midden (8LV65)-North Key,1,marine,,,midden,122,NA,NA,NA,NA,Weeden Is.,Weeden Is.,NA,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,"Kings Bay, Devil‚Äôs Walkingstick 9CAM177 ",1,marine,,,midden,119,NA,NA,NA,NA,1000,500,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Harris Neck (9Mcl41),1,marine,,,midden,42,NA,NA,NA,NA,620,560,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Minim Island (38GE46),1,marine,,,midden,25,NA,NA,NA,NA,2700,2100,TRUE,Occupation Season,Year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Ogilvie Pot-Za90 (8DU7491),1,marine,,,midden,15,NA,NA,NA,NA,Savannah,Savannah,NA,Occupation Season,year-round,These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Cedar Point north-Za54 (8DU81),1,marine,,,midden,277,NA,NA,NA,NA,St. Johns II,St. Johns II,NA,Occupation Season,year-round (mostly winter to summer with spring emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Horr's Island (8CR209),1,marine,,,midden,257,NA,NA,NA,NA,4000,3500,TRUE,Occupation Season,year-round (spring emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Kings Bay-Artesian Well area (9CAM171),1,marine,,,midden,50,NA,NA,NA,NA,Swift Creek,Swift Creek,NA,Occupation Season,Year-round (spring emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,Kings Bay-Poisonberry area (9CAM171),1,marine,,,midden,19,NA,NA,NA,NA,Swift Creek,Swift Creek,NA,Occupation Season,Year-round (spring emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Gulf Coast,TRUE,Palmer site (8SO2),1,marine,,,midden,373,NA,NA,NA,NA,1700,900,TRUE,Occupation Season,Year-round (summer emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1997,,Quitmyer ,et al,TRUE,GI,Merceneria sp.,US-Atlantic Coast,TRUE,"St. Catherines Island, GA",1,marine,,,midden,326,NA,NA,NA,NA,1400,1400,TRUE,Occupation Season,Year-round (winter-spring emphasis),These all have a 'modern reference' that I disagree with but at the time was sufficient and local vaiation was considered,"Quitmyer, I.R., Jones, D.S., Arnold, W.S., 1997. The sclerochronology of hard clams,mercenariaspp., from the south-eastern U.s.a.: A method of elucidating the zooarchaeological records of seasonal resource procurement and seasonality in prehistoric shell middens. J. Archaeol. Sci. 24, 825–840."
1993,,Van Neer ,et al,TRUE,External pattern,Oreochrornis niloticus,Egypt,FALSE,Makhadma 4 ,1,freshwater,TRUE,FALSE,layer,350,NA,NA,NA,NA,Late Palaeolithic,Epipalaeolithic,NA,Feasability,during flooding,n is estimated based on frequency diagram,"Van Neer, W., Augustynen, S., Linkowski, T., 1993. Daily growth increments on fish otoliths as seasonality indicators on archaeological sites: The Tilapia from late palaeolithic Makhadma in Egypt. Int. J. Osteoarchaeol. 3, 241–248."
1999,,van Neer ,et al,TRUE,GI-highres,Pleuronectes platessa ,Belgium,TRUE,Raversijde ,1,marine,FALSE,TRUE,layer,48,1,1,NA,5,500,500,TRUE,Feasability,spring,Age distribution is averaged,"Van Neer, W., Lougas, L., Rijnsdorp, A.D., 1999. Reconstructing Age Distribution, Season of Capture and Growth Rate of Fish from Archaeological Sites Based on Otoliths and Vertebrae. Int. J. Osteoarchaeol 9, 116––0."
2008,,Andrus and Crowe,,TRUE,d18O,Merceneria sp.,US-Georgia,TRUE,"6 sites (9Li200,201,203,2055,207,214)",1,marine,NA,NA,midden,25,NA,NA,8,0 to 6,Wilmington,Irene,NA,Feasability,Summer to Winter,"GI estimates are also found in the same book but I haven't found the book, edge samples are 3 to certain, here averaged","Andrus, C.F.T., Crowe, D.E., 2008. Isotope analysis as a means for determining season of capture for Mercenaria. Native American Landscapes of St Catherine’s Island."
2009,,Carré,,TRUE,GI-highres,Mesodesma donacium ,Peru,TRUE,Quebrada de los Burros ,1,marine,TRUE,FALSE,midden,116,4,6,NA,NA,10000,6500,TRUE,Occupation Season,Spring and Summer,,"Carré, M., Klaric, L., Lavallée, D., Julien, M., Bentaleb, I., Fontugne, M., Kawka, O., 2009. Insights into early Holocene hunter-gatherer mobility on the Peruvian Southern Coast from mollusk gathering seasonality. J. Archaeol. Sci. 36, 1173–1178."
2009,,Colonese,et al,TRUE,d18O,Osilinus turbinatus ,Italy,TRUE,Grotta della Serratura,1,marine,TRUE,FALSE,midden,29,4,NA,3,NA,10300,9600,TRUE,Occupation Season,Autumn to Spring,"Dates might be wrong, they differ from Table 1 and actually refer to Martini 1993.","Colonese, A.C., Troelstra, S., Ziveri, P., Martini, F., Lo Vetro, D., Tommasini, S., 2009. Mesolithic shellfish exploitation in SW Italy: seasonal evidence from the oxygen isotopic composition of Osilinus turbinatus shells. J. Archaeol. Sci. 36, 1935–1944."
2009,,Colonese,et al,TRUE,d18O,Osilinus turbinatus ,Italy,TRUE,Grotta d'Oriente,1,marine,TRUE,FALSE,layer,12,2,NA,3,NA,9630,7830,TRUE,Occupation Season,Winter,,"Colonese, A.C., Troelstra, S., Ziveri, P., Martini, F., Lo Vetro, D., Tommasini, S., 2009. Mesolithic shellfish exploitation in SW Italy: seasonal evidence from the oxygen isotopic composition of Osilinus turbinatus shells. J. Archaeol. Sci. 36, 1935–1944."
2009,,Colonese,et al,TRUE,d18O,Osilinus turbinatus ,Italy,TRUE,Grotta di Cala Mancina,1,marine,TRUE,FALSE,layer,6,1,NA,3,NA,9500,8500,TRUE,Occupation Season,Winter to early spring,,"Colonese, A.C., Troelstra, S., Ziveri, P., Martini, F., Lo Vetro, D., Tommasini, S., 2009. Mesolithic shellfish exploitation in SW Italy: seasonal evidence from the oxygen isotopic composition of Osilinus turbinatus shells. J. Archaeol. Sci. 36, 1935–1944."
2009,,Colonese,et al,TRUE,d18O,Osilinus turbinatus ,Italy,TRUE,Grotta delle Uccerie,1,marine,TRUE,FALSE,layer,6,1,NA,3,NA,9460,8760,TRUE,Occupation Season,Winter to late spring,,"Colonese, A.C., Troelstra, S., Ziveri, P., Martini, F., Lo Vetro, D., Tommasini, S., 2009. Mesolithic shellfish exploitation in SW Italy: seasonal evidence from the oxygen isotopic composition of Osilinus turbinatus shells. J. Archaeol. Sci. 36, 1935–1944."
2009,,Culleton ,et al,TRUE,d18O,Macoma nasuta ,US-California,TRUE,CA-ALA-17 ,1,marine,TRUE,FALSE,midden,39,24,NA,2,NA,3800,1600,TRUE,Occupation Season,Winter to Summer some Autumn,There might well be some biases in the 2-point sampling process that increases the seasons when change is happening over the more stable ones (spring/autumn),"Culleton, B.J., Kennett, D.J., Jones, T.L., 2009. Oxygen isotope seasonality in a temperate estuarine shell midden: a case study from CA-ALA-17 on the San Francisco Bay, California. J. Archaeol. Sci. 36, 1354–1363."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SLO-9,1,marine,,,,13,NA,NA,2,NA,1100,700,TRUE,Occupation Season,Spring,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
